Customer ID,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Avg Monthly Long Distance Charges,Contract,Monthly Charge
2773-OVBPK,Male,60,Yes,0,1,67,Offer A,21.71,Two Year,111.3
2774-LVQUS,Female,65,Yes,0,2,15,None,44.13,Month-to-Month,83.05
2775-SEFEE,Male,56,No,1,0,10,None,29.95,Two Year,61.9
2777-PHDEI,Female,20,No,0,0,1,None,29.41,Month-to-Month,78.05
2782-LFZVW,Female,52,No,0,0,11,Offer D,24.57,Month-to-Month,58.95
2786-GCDPI,Female,75,No,0,0,50,Offer B,17.65,Month-to-Month,104.95
2788-CJQAQ,Male,39,No,0,0,13,Offer D,22.31,One Year,19.45
2789-CZANW,Female,49,Yes,1,7,64,Offer B,21.16,Two Year,110.3
2789-HQBOU,Male,60,No,0,0,3,Offer E,49.63,Month-to-Month,80.35
2790-XUYMV,Male,19,No,1,0,71,None,31.89,One Year,85.45
2791-SFVEW,Female,63,No,0,0,9,Offer E,34.79,Month-to-Month,20.15
2792-LSHWX,Female,49,No,0,0,1,None,43.06,Month-to-Month,83.4
2792-VPPET,Male,28,No,0,0,3,None,37.01,Month-to-Month,20.5
2796-NNUFI,Female,56,Yes,0,1,46,None,30.47,Two Year,19.95
2796-UUZZO,Male,30,Yes,2,9,63,Offer B,18.88,Month-to-Month,80.3
2798-NYLMZ,Male,29,Yes,0,10,71,Offer A,31.97,Two Year,108.55
2799-ARNLO,Female,67,Yes,0,0,5,Offer E,9.56,One Year,69.35
2799-TSLAG,Female,25,Yes,3,9,65,None,34.03,Two Year,25.3
2800-QQUSO,Male,48,No,0,0,42,None,25.69,Month-to-Month,100.3
2800-VEQXM,Female,48,No,0,0,3,None,12.5,Month-to-Month,74.75
2801-NISEI,Male,28,No,0,0,24,None,30.07,Month-to-Month,54.95
2804-ETQDK,Male,57,No,2,0,66,None,20.63,Two Year,20.55
2805-AUFQN,Female,42,No,0,0,25,Offer C,13.93,Two Year,19.8
2805-EDJPQ,Female,45,Yes,0,9,56,None,20.53,One Year,99.75
2806-MLNTI,Male,79,Yes,0,4,52,None,29.15,One Year,105.1
2808-CHTDM,Female,47,Yes,2,4,23,None,35.86,Two Year,25.1
2809-ILCYT,Female,56,Yes,0,10,25,None,3.6,One Year,26.8
2809-ZMYOQ,Female,33,No,0,0,32,None,41.53,Month-to-Month,101.35
2810-FTLEM,Female,21,No,0,0,16,None,14.26,Month-to-Month,50.15
2811-POVEX,Female,74,Yes,3,4,23,None,2.03,Two Year,88.45
2812-REYAT,Female,56,Yes,0,3,49,None,22.1,One Year,20.05
2812-SFXMJ,Male,46,No,3,0,1,None,7.66,Month-to-Month,20.05
2815-CPTUL,Male,68,No,0,0,5,None,2.27,Month-to-Month,70.25
2817-LVCPP,Female,36,No,0,0,50,None,12.62,Two Year,19.4
2819-GWENI,Female,64,Yes,1,9,28,Offer C,21.91,One Year,19.9
2821-WARNZ,Female,25,No,1,0,49,None,45.64,One Year,19.45
2823-LKABH,Female,51,No,0,0,18,None,7.42,Month-to-Month,95.05
2824-DXNKN,Female,26,Yes,1,8,72,Offer A,38.99,Two Year,71.45
2824-MYYBN,Female,43,Yes,2,0,37,None,1.6,Month-to-Month,95.25
2826-UWHIS,Male,64,Yes,0,4,45,Offer B,1.59,Month-to-Month,81.4
2828-SLQPF,Male,53,No,0,0,19,None,29.52,Month-to-Month,45.0
2829-HYVZP,Male,42,No,0,0,29,None,46.12,One Year,19.8
2830-LEWOA,Male,37,Yes,1,3,61,Offer B,43.08,One Year,103.9
2831-EBWRN,Male,46,No,0,0,4,Offer E,33.93,Month-to-Month,-8.0
2832-KJCRD,Female,22,No,0,0,38,Offer C,23.95,Month-to-Month,103.65
2832-SCUCO,Female,52,No,0,0,2,Offer E,26.9,Month-to-Month,19.9
2833-SLKDQ,Male,23,No,0,0,1,None,48.03,Month-to-Month,45.05
2834-JRTUA,Male,30,No,0,0,71,Offer A,49.42,Two Year,108.05
2834-SPCJV,Male,40,Yes,0,1,52,None,38.37,Month-to-Month,84.1
2839-RFSQE,Female,60,No,0,0,2,Offer E,24.71,Month-to-Month,20.65
2840-XANRC,Male,77,Yes,0,1,24,Offer C,16.1,Month-to-Month,93.15
2842-BCQGE,Male,39,No,0,0,43,Offer B,19.66,Month-to-Month,75.35
2842-JTCCU,Male,27,No,0,0,2,Offer E,29.69,Month-to-Month,46.05
2843-CQMEG,Male,21,No,0,0,24,Offer C,3.72,Month-to-Month,49.7
2845-AFFTX,Male,78,Yes,0,0,41,None,22.56,Month-to-Month,99.8
2845-HSJCY,Female,49,Yes,0,1,14,None,29.18,Month-to-Month,87.25
2845-KDHVX,Female,57,Yes,0,9,64,None,23.29,Two Year,68.3
2848-YXSMW,Male,38,Yes,0,1,72,Offer A,49.5,Two Year,19.4
2851-MMUTZ,Female,29,No,0,0,27,None,1.31,Month-to-Month,56.15
2851-STERV,Male,79,No,0,0,35,None,3.04,One Year,73.0
2853-CWQFQ,Male,20,No,1,0,1,None,41.39,Month-to-Month,59.55
2856-HYAPG,Female,62,No,0,0,1,Offer E,12.4,Month-to-Month,68.65
2856-NNASM,Male,74,No,0,0,43,None,39.12,Month-to-Month,89.55
2858-EIMXH,Female,69,Yes,0,1,53,None,30.09,One Year,95.85
2858-MOFSQ,Female,50,No,0,0,17,None,24.31,One Year,55.85
2860-RANUS,Female,67,No,0,0,20,Offer D,29.29,Month-to-Month,85.8
2862-JVEOY,Male,33,No,0,0,6,None,10.54,One Year,19.15
2863-IMQDR,Female,52,No,0,0,61,None,23.45,Two Year,89.65
2865-TCHJW,Female,74,No,0,0,4,None,48.35,Month-to-Month,89.2
2866-IKBTM,Female,57,No,0,0,1,None,40.63,Month-to-Month,19.55
2867-UIMSS,Male,24,No,0,0,1,None,35.77,Month-to-Month,80.5
2868-LLSKM,Female,50,Yes,2,1,68,Offer A,15.94,One Year,83.65
2868-MZAGQ,Male,49,No,0,0,1,Offer E,19.98,Month-to-Month,79.25
2868-SNELZ,Female,54,No,0,0,2,None,5.32,Month-to-Month,80.6
2869-ADAWR,Female,41,No,0,0,45,Offer B,14.12,Month-to-Month,89.3
2873-ZLIWT,Female,64,Yes,0,1,40,Offer B,2.03,Month-to-Month,84.85
2874-YXVVA,Female,38,No,0,0,34,None,2.82,Month-to-Month,105.1
2876-GZYZC,Female,49,No,0,0,13,None,29.21,Month-to-Month,85.95
2876-VBBBL,Female,64,No,0,0,1,Offer E,10.71,Month-to-Month,20.25
2878-DHMIN,Male,63,Yes,2,7,35,None,24.23,One Year,19.9
2878-RMWXY,Male,75,Yes,0,5,72,None,28.5,Two Year,102.65
2880-FPNAE,Male,69,Yes,0,1,2,Offer E,7.29,Two Year,74.2
2882-DDZPG,Female,27,No,0,0,12,None,35.81,Month-to-Month,19.45
2882-WDTBA,Male,64,Yes,0,4,69,Offer A,44.33,Two Year,75.75
2883-ILGWO,Male,68,No,0,0,57,None,32.12,Two Year,104.9
2884-GBPFB,Female,61,Yes,0,4,35,Offer C,10.43,Month-to-Month,70.3
2885-HIJDH,Male,47,Yes,3,9,69,None,26.35,Two Year,86.9
2886-KEFUM,Female,50,Yes,0,1,63,None,1.93,One Year,107.5
2887-JPYLU,Female,58,No,3,0,41,None,38.94,Month-to-Month,45.2
2888-ADFAO,Female,47,Yes,3,5,47,None,3.95,Two Year,21.3
2889-FPWRM,Male,31,Yes,0,1,72,None,34.87,One Year,117.8
2890-WFBHU,Female,26,No,0,0,59,Offer B,1.94,One Year,79.85
2892-GESUL,Female,20,Yes,3,5,18,None,20.0,Two Year,19.35
2896-TBNBE,Male,46,Yes,0,5,40,Offer B,12.97,One Year,80.8
2897-DOVND,Male,31,No,0,0,2,None,11.19,Month-to-Month,69.8
2898-MRKPI,Male,36,Yes,1,10,68,Offer A,34.62,One Year,101.05
2900-PHPLN,Female,73,Yes,0,2,70,Offer A,15.9,Two Year,19.55
2903-YYTBW,Male,48,Yes,2,1,1,None,41.1,Month-to-Month,44.55
2904-GGUAZ,Female,24,Yes,0,8,72,Offer A,16.15,Two Year,84.05
2905-KFQUV,Female,61,Yes,0,9,2,None,7.49,Month-to-Month,70.4
2907-ILJBN,Female,21,Yes,0,7,11,None,1.92,One Year,20.6
2908-WGAXL,Female,40,Yes,2,9,56,None,29.06,Two Year,24.95
2911-IJORQ,Male,42,No,0,0,37,None,44.52,One Year,90.6
2911-WDXMV,Male,29,No,3,0,18,Offer D,41.08,Month-to-Month,80.55
2916-BQZLN,Male,29,No,0,0,19,None,11.42,Month-to-Month,84.75
2919-HBCJO,Female,36,No,0,0,4,None,24.09,Month-to-Month,76.65
2920-RNCEZ,Male,46,Yes,1,10,1,None,11.45,Month-to-Month,69.95
2921-XWDJH,Female,76,Yes,0,0,38,None,3.42,Two Year,83.45
2923-ARZLG,Male,38,Yes,2,5,10,Offer E,46.23,One Year,19.7
2924-KHUVI,Male,28,Yes,0,7,56,None,46.9,One Year,100.55
2925-MXLSX,Female,37,No,0,0,30,Offer C,22.64,One Year,68.95
2925-VDZHY,Male,64,Yes,2,1,72,Offer A,28.63,Two Year,88.7
2926-JEJJC,Female,26,No,0,0,8,None,5.27,One Year,20.2
2927-CVULT,Female,64,Yes,1,1,53,Offer B,28.36,Two Year,104.05
2927-QRRQV,Male,44,Yes,0,1,46,Offer B,10.13,One Year,94.65
2928-HLDBA,Female,31,No,0,0,6,Offer E,7.72,Month-to-Month,20.7
2929-ERCFZ,Female,22,Yes,0,1,8,Offer E,38.83,Month-to-Month,94.2
2929-QNSRW,Female,21,Yes,0,1,56,None,19.16,One Year,98.25
2930-UOTMB,Female,29,No,0,0,31,Offer C,31.14,Month-to-Month,65.25
2931-FSOHN,Male,76,No,0,0,13,None,49.9,Month-to-Month,59.9
2931-SVLTV,Male,59,Yes,3,6,40,Offer B,11.5,Month-to-Month,110.1
2931-VUVJN,Female,71,Yes,0,0,59,None,19.14,One Year,94.05
2931-XIQBR,Female,41,Yes,3,7,50,None,47.48,One Year,103.05
2933-XEUJM,Female,56,No,0,0,46,Offer B,46.83,Two Year,79.2
2937-FTHUR,Female,45,No,3,0,18,Offer D,42.45,Month-to-Month,64.8
2947-DOMLJ,Male,47,No,2,0,1,None,11.86,Month-to-Month,50.6
2951-QOQTK,Male,28,No,0,0,4,None,42.33,Month-to-Month,80.8
2952-QAYZF,Male,30,No,0,0,5,None,36.52,Month-to-Month,85.3
2954-PIBKO,Female,64,Yes,0,7,69,None,39.88,Two Year,64.15
2955-BJZHG,Male,41,Yes,0,1,17,None,16.61,Month-to-Month,80.85
2955-PSXOE,Female,48,No,0,0,1,None,43.52,Month-to-Month,20.2
2956-GGUCQ,Male,71,Yes,0,1,24,None,2.05,Month-to-Month,78.85
2957-JIRMN,Female,69,No,0,0,62,None,19.52,One Year,84.45
2957-LOLHO,Male,49,No,0,0,12,None,11.12,Month-to-Month,45.4
2958-NHPPS,Male,45,No,0,0,23,None,35.32,Month-to-Month,20.85
2959-FENLU,Female,64,No,0,0,9,None,48.38,Month-to-Month,85.3
2959-MJHIC,Male,60,Yes,0,3,4,None,32.43,Month-to-Month,80.35
2960-NKRSO,Male,60,No,0,0,24,None,9.53,Month-to-Month,85.95
2961-VNFKL,Female,42,Yes,0,2,71,Offer A,24.71,Two Year,25.95
2962-XPMCQ,Male,56,No,0,0,2,Offer E,6.47,Month-to-Month,45.15
2967-MXRAV,Male,29,Yes,0,9,1,None,43.57,One Year,18.8
2968-SSGAA,Female,41,No,0,0,10,None,45.21,Month-to-Month,100.6
2969-VAPYH,Female,28,No,0,0,67,Offer A,35.99,One Year,60.5
2969-WGHQO,Female,39,Yes,3,1,7,None,18.91,One Year,69.45
2971-SGAFL,Female,34,No,0,0,13,Offer D,38.4,Month-to-Month,78.75
2972-YDYUW,Female,47,No,0,0,57,None,38.94,One Year,94.7
2974-GGUXS,Female,74,Yes,0,0,36,Offer C,11.32,Month-to-Month,91.95
2977-CEBSX,Female,61,No,0,0,66,None,13.28,Two Year,90.05
2978-XXSOG,Female,33,No,0,0,22,Offer D,32.75,Month-to-Month,59.05
2979-SXESE,Female,57,Yes,0,1,17,Offer D,25.79,Month-to-Month,94.4
2982-IHMFT,Female,75,No,0,0,1,None,39.61,Month-to-Month,74.45
2982-VPSGI,Female,64,Yes,0,1,11,Offer D,25.67,Month-to-Month,94.0
2983-ZANRP,Female,27,Yes,0,1,2,None,8.5,Month-to-Month,73.55
2984-AFWNC,Female,52,No,0,0,3,None,17.01,Month-to-Month,95.4
2984-MIIZL,Male,51,No,0,0,4,None,7.26,Month-to-Month,74.8
2984-RGEYA,Female,38,Yes,0,9,69,Offer A,5.27,Two Year,19.75
2984-TBYKU,Male,38,Yes,3,6,72,Offer A,32.22,Two Year,104.9
2985-FMWYF,Female,46,No,0,0,23,Offer D,18.12,Month-to-Month,93.5
2985-JUUBZ,Male,32,Yes,3,5,40,Offer B,13.86,Month-to-Month,74.55
2987-BJXIK,Female,44,No,0,0,70,None,16.93,Two Year,84.7
2988-GBIVW,Female,68,Yes,0,10,70,None,38.5,Two Year,90.85
2988-PLAHS,Female,58,No,0,0,3,Offer E,29.51,One Year,69.95
2988-QRAJY,Male,27,No,0,0,69,Offer A,5.71,Two Year,110.05
2990-HWIML,Female,58,No,0,0,6,Offer E,47.92,Month-to-Month,89.5
2990-IAJSV,Male,55,No,0,0,72,None,45.41,Two Year,92.0
2990-OGYTD,Female,41,Yes,0,1,67,Offer A,3.2,Two Year,86.15
2995-UPRYS,Female,74,Yes,0,1,40,None,19.76,One Year,99.2
2995-YWTCD,Female,20,Yes,1,1,19,None,31.58,Two Year,24.9
2999-AANRQ,Female,23,No,0,0,21,None,17.35,Two Year,71.05
3001-CBHLQ,Male,76,Yes,0,1,32,Offer C,43.51,Month-to-Month,104.9
3001-UNBTL,Male,69,Yes,1,1,29,Offer C,49.36,Month-to-Month,103.95
3002-WQZWT,Female,25,No,0,0,29,Offer C,16.38,Month-to-Month,74.2
3003-CMDUU,Female,22,Yes,0,0,25,None,29.81,Month-to-Month,95.15
3005-NFMTA,Male,73,No,0,0,55,Offer B,8.93,Month-to-Month,98.8
3005-TYFRD,Female,54,Yes,0,4,55,Offer B,33.66,Month-to-Month,103.65
3006-XIMLN,Female,34,No,0,0,2,None,42.89,Month-to-Month,94.2
3007-FDPEA,Female,28,No,0,0,2,None,13.89,Month-to-Month,20.7
3009-JWMPU,Male,58,No,0,0,62,Offer B,22.64,One Year,96.75
3011-WQKSZ,Male,41,No,3,0,19,Offer D,24.1,Month-to-Month,20.0
3012-VFFMN,Female,61,Yes,1,7,7,None,5.01,Month-to-Month,20.65
3014-WJKSM,Male,26,Yes,0,10,29,None,3.35,Month-to-Month,75.3
3018-TFTSU,Male,44,No,0,0,12,Offer D,18.38,Month-to-Month,81.7
3021-VLNRJ,Female,25,No,2,0,50,Offer B,37.52,One Year,70.8
3022-BEXHZ,Male,19,Yes,1,6,67,None,40.96,Two Year,111.2
3023-GFLBR,Female,63,Yes,0,1,33,None,14.34,Month-to-Month,86.15
3026-ATZYV,Female,32,Yes,2,3,37,Offer C,1.12,One Year,75.1
3027-YNWZU,Female,44,Yes,0,5,64,Offer B,6.81,Two Year,25.0
3027-ZTDHO,Male,21,No,0,0,1,Offer E,32.85,Month-to-Month,89.9
3030-YDNRM,Male,64,No,0,0,8,Offer E,11.58,Month-to-Month,74.85
3030-YZADT,Male,57,No,0,0,9,Offer E,2.88,Month-to-Month,44.95
3030-ZKIWL,Male,23,No,0,0,1,None,18.15,Month-to-Month,20.05
3038-PQIUY,Female,39,No,0,0,38,None,20.14,Month-to-Month,66.15
3039-MJSLN,Male,36,No,3,0,3,None,18.43,Month-to-Month,20.2
3043-SUDUA,Female,35,No,0,0,32,Offer C,15.53,Month-to-Month,19.9
3043-TYBNO,Male,43,No,0,0,3,None,22.49,Month-to-Month,60.65
3045-XETSH,Female,34,No,0,0,10,None,43.26,Month-to-Month,94.85
3049-NDXFL,Female,30,No,0,0,1,Offer E,34.47,Month-to-Month,85.8
3049-SOLAY,Female,21,Yes,0,5,3,None,23.26,Month-to-Month,95.2
3050-RLLXC,Female,51,Yes,2,10,56,Offer B,25.9,Two Year,81.25
3055-OYMSE,Female,75,No,0,0,53,None,16.74,Month-to-Month,73.8
3055-VTCGS,Female,35,No,0,0,63,Offer B,27.38,One Year,58.55
3057-VJJQE,Male,64,No,0,0,35,None,20.39,Two Year,55.25
3058-HJCUY,Male,36,Yes,0,1,41,Offer B,45.03,One Year,102.6
3059-NGMXB,Male,52,Yes,3,8,14,Offer D,2.96,Month-to-Month,69.2
3061-BCKYI,Male,27,No,0,0,14,Offer D,43.5,Month-to-Month,19.9
3062-ICYZQ,Female,41,Yes,3,9,51,None,27.23,Month-to-Month,93.8
3063-QFSZL,Female,37,No,0,0,1,Offer E,13.01,Month-to-Month,55.4
3066-RRJIO,Female,29,No,0,0,1,Offer E,13.04,Month-to-Month,69.95
3067-SVMTC,Female,49,Yes,0,9,68,None,44.79,One Year,55.9
3068-OMWZA,Male,77,No,0,0,1,None,49.6,Month-to-Month,88.8
3070-BDOQC,Female,38,No,0,0,60,None,16.81,Two Year,99.65
3070-DVEYC,Male,78,No,0,0,7,None,32.4,Month-to-Month,73.75
3070-FNFZQ,Female,48,Yes,1,1,23,Offer D,39.59,Two Year,20.4
3071-MVJCD,Male,40,Yes,0,10,72,Offer A,48.44,Two Year,82.3
3071-VBYPO,Male,38,Yes,2,1,3,Offer E,33.3,Month-to-Month,89.85
3074-GQWYX,Male,30,No,0,0,5,None,46.88,Month-to-Month,75.9
3077-RSNTJ,Female,29,Yes,3,9,6,None,5.52,Month-to-Month,19.7
3078-ZKNTS,Female,45,Yes,1,7,13,None,5.58,Two Year,19.75
3079-BCHLN,Male,26,Yes,0,0,47,Offer B,43.2,One Year,19.9
3082-WQRVY,Male,73,Yes,0,8,14,None,45.76,One Year,19.65
3082-YVEKW,Female,62,Yes,2,10,23,None,33.02,Two Year,77.15
3084-DOWLE,Female,47,Yes,0,8,72,Offer A,43.29,Two Year,92.0
3085-QUOZK,Female,55,No,0,0,1,Offer E,34.48,Month-to-Month,43.95
3086-RUCRN,Female,33,No,0,0,66,Offer A,43.14,Month-to-Month,103.1
3088-FVYWK,Male,37,Yes,3,3,53,Offer B,33.31,Two Year,25.55
3088-LHEFH,Female,28,No,0,0,11,Offer D,10.06,Month-to-Month,79.0
3090-HAWSU,Male,44,No,0,0,61,None,7.82,Two Year,111.6
3090-LETTY,Male,54,No,2,0,2,None,14.88,Month-to-Month,60.95
3090-QFUVD,Female,48,No,0,0,1,None,4.09,Month-to-Month,20.3
3092-IGHWF,Male,34,Yes,0,1,67,Offer A,28.4,One Year,87.4
3094-JOJAI,Male,63,No,0,0,18,None,4.38,Month-to-Month,74.15
3096-GKWEB,Male,42,Yes,0,1,18,None,34.17,Month-to-Month,94.75
3096-IZETN,Female,32,No,0,0,12,Offer D,42.55,Month-to-Month,78.1
3096-JRDSO,Female,73,Yes,0,5,27,Offer C,10.19,Month-to-Month,104.3
3096-WPXBT,Female,60,Yes,1,5,61,Offer B,18.26,One Year,100.7
3096-YXENJ,Female,25,Yes,0,1,65,None,27.69,Two Year,107.65
3097-FQTVJ,Female,23,No,0,0,41,Offer B,10.09,Two Year,20.0
3097-IDVPU,Male,51,Yes,2,10,19,Offer D,9.47,Month-to-Month,50.1
3097-NNSPB,Female,42,No,0,0,2,Offer E,14.7,Month-to-Month,49.05
3097-NQYSN,Male,73,Yes,0,3,2,None,4.19,Month-to-Month,86.85
3097-PYWXL,Female,30,Yes,2,1,4,None,28.55,Month-to-Month,19.95
3099-OONVS,Male,34,Yes,1,6,25,Offer C,37.97,Month-to-Month,54.3
3104-OWCGK,Male,21,Yes,0,1,60,Offer B,33.25,One Year,90.95
3106-ULWFW,Female,32,Yes,0,0,8,Offer E,26.41,Month-to-Month,85.2
3108-PCCGG,Male,75,Yes,0,3,72,Offer A,16.72,Two Year,84.45
3113-IWHLC,Male,24,No,0,0,5,None,41.29,Month-to-Month,55.8
3115-CZMZD,Male,24,No,0,0,10,None,13.16,Two Year,20.25
3115-JPJDD,Female,43,Yes,0,1,59,None,29.6,One Year,81.25
3118-UHVVQ,Female,41,Yes,0,8,68,Offer A,17.12,Two Year,25.8
3120-FAZKD,Male,19,Yes,2,7,54,Offer B,41.58,Two Year,24.05
3125-RAHBV,Male,24,No,0,0,22,Offer D,23.03,One Year,20.3
3126-WQMGH,Female,19,Yes,0,6,49,None,28.42,Month-to-Month,52.15
3128-YOVTD,Female,29,Yes,2,6,51,None,2.53,Month-to-Month,79.15
3129-AAQOU,Female,50,Yes,2,4,19,Offer D,38.43,Two Year,25.6
3130-ICDUP,Female,56,No,1,0,2,None,5.3,Month-to-Month,80.55
3131-NWVFJ,Female,56,Yes,0,9,14,None,19.03,One Year,19.55
3133-PZNSR,Male,25,Yes,3,1,72,None,20.79,Two Year,97.75
3134-DSHVC,Female,49,No,0,0,63,None,23.62,Two Year,98.0
3137-LUPIX,Female,58,No,0,0,4,None,1.1,Month-to-Month,64.4
3137-NYQQI,Male,32,Yes,0,2,17,Offer D,45.35,One Year,64.8
3138-BKYAV,Male,61,No,0,0,6,None,11.97,Month-to-Month,85.35
3143-ILDAL,Male,21,No,0,0,56,None,25.41,Month-to-Month,94.45
3143-JQEGI,Female,52,Yes,0,1,13,None,17.83,Month-to-Month,88.35
3144-AUDBS,Female,59,Yes,0,1,6,Offer E,6.94,Month-to-Month,49.15
3144-KMTWZ,Male,40,Yes,0,8,71,Offer A,26.56,Month-to-Month,93.25
3146-JTQHR,Male,23,Yes,0,3,10,Offer D,39.35,One Year,19.6
3146-MSEGF,Female,71,Yes,0,1,72,Offer A,20.48,Two Year,88.05
3148-AOIQT,Female,23,Yes,0,10,69,None,45.12,Two Year,24.95
3148-BLQJT,Male,33,No,0,0,1,Offer E,16.81,Month-to-Month,20.1
3154-CFSZG,Male,57,Yes,1,3,47,None,38.25,Month-to-Month,90.05
3154-HMWUU,Male,28,Yes,0,9,60,Offer B,31.29,Two Year,20.5
3156-QLHBO,Male,58,No,1,0,2,None,21.18,Month-to-Month,19.25
3158-MOERK,Female,57,No,0,0,2,None,48.34,Month-to-Month,96.0
3161-GETRM,Male,61,Yes,3,10,34,Offer C,20.05,Month-to-Month,90.05
3161-ONRWK,Male,35,Yes,0,4,60,Offer B,43.57,One Year,65.85
3162-KKZXO,Female,75,No,0,0,55,None,29.6,One Year,-2.0
3162-ZJZFU,Male,25,Yes,2,5,53,None,24.33,Month-to-Month,92.55
3164-AALRN,Male,39,No,0,0,5,None,45.25,One Year,70.0
3165-HDOEW,Male,47,Yes,0,1,1,None,14.9,Month-to-Month,45.85
3166-PNEOF,Female,57,No,0,0,61,Offer B,4.51,Two Year,86.45
3167-SNQPL,Male,71,Yes,1,9,38,None,28.3,One Year,101.15
3170-GWYKC,Female,30,No,0,0,60,None,22.88,Month-to-Month,104.95
3170-NMYVV,Female,37,Yes,0,5,50,Offer B,26.95,Two Year,20.15
3173-NVMPX,Female,51,Yes,3,1,9,None,23.36,Month-to-Month,55.3
3173-WSSUE,Female,22,Yes,2,5,71,None,22.36,Two Year,19.7
3174-AKMAS,Female,61,Yes,0,1,46,None,37.02,Two Year,64.2
3174-RKMOW,Male,24,Yes,3,8,35,None,48.3,Month-to-Month,109.95
3177-LASXD,Female,43,No,0,0,1,None,40.4,Month-to-Month,71.35
3178-CIFOT,Female,34,No,0,0,23,Offer D,10.41,One Year,19.65
3178-FESZO,Female,45,No,0,0,1,Offer E,20.23,Month-to-Month,100.25
3179-GBRWV,Male,79,Yes,0,5,21,None,42.95,One Year,-3.0
3181-MIZBN,Male,40,Yes,1,2,16,None,31.99,Month-to-Month,19.75
3186-AJIEK,Male,44,No,0,0,66,None,30.96,Two Year,105.65
3186-BAXNB,Female,20,No,0,0,1,Offer E,17.23,Month-to-Month,91.7
3190-FZATL,Male,49,No,5,0,14,None,40.66,Month-to-Month,19.95
3190-ITQXP,Female,42,Yes,1,7,46,None,27.65,Two Year,20.25
3190-XFANI,Male,42,No,0,0,49,None,18.97,One Year,100.6
3191-CSNMG,Female,57,Yes,1,5,3,Offer E,23.72,Month-to-Month,80.7
3192-LNKRK,Male,63,Yes,1,10,34,None,5.65,Month-to-Month,84.05
3192-NQECA,Male,26,Yes,0,4,68,Offer A,14.79,Two Year,110.0
3194-ORPIK,Female,59,Yes,0,1,50,None,35.33,Month-to-Month,84.4
3195-TQDZX,Male,19,No,0,0,3,None,1.57,Month-to-Month,20.25
3196-NVXLZ,Female,23,No,0,0,25,Offer C,9.57,Month-to-Month,84.6
3197-ARFOY,Female,67,No,0,0,19,None,7.95,One Year,105.0
3197-NNYNB,Male,47,No,0,0,65,Offer B,27.75,Two Year,-3.0
3198-VELRD,Female,47,Yes,0,1,3,None,38.09,Month-to-Month,84.75
3199-NPKCN,Female,39,Yes,0,1,67,None,35.03,One Year,111.25
3199-XGZCY,Female,51,No,0,0,8,None,18.82,Month-to-Month,75.25
3200-MNQTF,Male,38,Yes,0,8,67,None,28.06,Two Year,70.9
3205-MXZRA,Male,47,No,0,0,26,Offer C,3.26,One Year,59.45
3207-OYBWH,Male,74,Yes,0,1,57,None,49.91,Month-to-Month,95.25
3208-YPIOE,Male,64,No,0,0,39,Offer C,36.17,Month-to-Month,75.25
3209-ZPKFI,Male,28,Yes,1,1,47,Offer B,39.25,Month-to-Month,54.25
3211-AAPKX,Male,26,No,0,0,20,None,23.22,Month-to-Month,98.55
3211-ILJTT,Male,35,Yes,0,1,17,None,13.68,Month-to-Month,70.4
3212-KXOCR,Male,62,No,0,0,52,None,28.3,Two Year,21.0
3213-VVOLG,Male,22,Yes,2,3,10,None,36.37,Two Year,25.35
3214-IYUUQ,Female,19,Yes,0,0,61,None,10.21,One Year,93.7
3217-FZDMN,Female,66,No,0,0,8,Offer E,5.21,Month-to-Month,94.45
3219-JQRSL,Female,70,Yes,0,1,72,None,24.44,Two Year,89.1
3221-CJMSG,Male,45,No,0,0,24,None,2.33,Month-to-Month,51.1
3223-DWFIO,Male,77,No,0,0,4,None,30.11,Two Year,69.35
3223-WZWJM,Male,36,No,0,0,26,None,14.3,Month-to-Month,83.95
3224-DFQNQ,Female,59,Yes,0,10,66,None,37.38,One Year,89.0
3227-WLKLI,Female,52,Yes,3,1,65,None,10.11,Two Year,91.55
3229-USWAR,Female,40,No,0,0,34,Offer C,5.32,One Year,79.95
3230-IUALN,Female,41,Yes,0,10,45,None,26.01,Two Year,81.0
3230-JCNZS,Female,43,Yes,2,4,71,Offer A,15.73,Two Year,99.0
3230-WYKIR,Male,36,No,0,0,18,None,12.5,One Year,82.0
3234-VKACU,Male,21,No,0,0,2,None,23.52,Month-to-Month,-8.0
3235-ETOOB,Male,51,Yes,0,1,8,None,47.91,Month-to-Month,74.5
3239-TPHPZ,Female,60,Yes,0,10,12,Offer D,40.34,Two Year,20.05
3243-ZHOHY,Female,35,No,0,0,16,Offer D,20.65,One Year,20.1
3244-CQPHU,Female,77,No,0,0,72,Offer A,14.12,Two Year,110.1
3244-DCJWY,Female,27,No,0,0,1,Offer E,23.0,Month-to-Month,70.25
3247-MHJKM,Male,27,No,0,0,1,None,42.15,Month-to-Month,20.2
3247-ZVOUO,Male,77,Yes,0,0,10,Offer D,6.01,Month-to-Month,85.55
3249-ZPQRG,Male,28,No,0,0,4,Offer E,42.06,Month-to-Month,78.45
3251-YMVWZ,Male,34,No,0,0,53,Offer B,39.37,One Year,24.05
3253-HKOKL,Female,31,Yes,2,7,52,None,7.99,One Year,100.3
3254-YRILK,Male,74,No,0,0,19,Offer D,39.97,Month-to-Month,88.2
3255-GRXMG,Male,58,No,2,0,18,Offer D,34.07,Month-to-Month,45.65
