Customer ID,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Avg Monthly Long Distance Charges,Contract,Monthly Charge,Customer Status
4456-RHSNB,1,43,1,1,3,19,None,7.42,Month-to-Month,49.6,0
0481-SUMCB,1,74,0,0,0,45,Offer B,34.12,One Year,102.15,0
8709-KRDVL,1,44,0,0,0,33,None,16.57,Month-to-Month,100.0,0
3824-RHKVR,1,27,0,0,0,17,Offer D,22.26,Month-to-Month,19.7,0
2114-MGINA,1,57,0,0,0,14,Offer D,10.3,Month-to-Month,89.8,1
2791-SFVEW,1,63,0,0,0,9,Offer E,34.79,Month-to-Month,20.15,0
9091-WTUUY,0,30,1,0,4,64,None,25.74,Two Year,69.25,0
5346-BZCHP,1,19,1,2,0,69,Offer A,25.18,Two Year,19.4,0
7175-NTIXE,1,26,0,0,0,25,None,21.67,Month-to-Month,76.15,0
0815-MFZGM,1,54,1,0,9,42,None,1.31,Two Year,99.0,0
5240-CAOYT,1,30,0,0,0,57,None,28.27,Month-to-Month,87.55,0
1325-USMEC,0,58,1,0,10,70,Offer A,48.0,Two Year,99.35,0
4083-EUGRJ,0,37,0,0,0,9,None,8.91,Month-to-Month,20.25,1
0074-HDKDG,0,46,1,0,5,25,None,6.45,One Year,61.6,0
7789-CRUVC,1,77,1,0,1,61,None,33.75,Month-to-Month,94.2,0
8402-EIVQS,0,40,1,0,8,67,Offer A,31.41,One Year,100.9,0
6933-FHBZC,1,30,0,0,0,26,Offer C,35.75,One Year,56.05,0
2668-TZSPS,0,32,0,0,0,1,None,39.61,Month-to-Month,20.45,0
7382-DFJTU,0,63,0,0,0,18,Offer D,47.72,Month-to-Month,-2.0,0
1333-PBMXB,1,40,1,2,1,54,None,28.87,One Year,24.75,0
5307-DZCVC,1,78,1,0,0,32,Offer C,48.95,Month-to-Month,85.95,1
9685-WKZGT,0,67,0,0,0,14,Offer D,16.32,Month-to-Month,74.95,1
8375-KVTHK,0,43,1,0,1,68,None,49.51,One Year,100.3,0
2188-SXWVT,1,31,0,0,0,34,Offer C,43.17,One Year,55.0,0
3900-AQPHZ,1,45,0,0,0,1,None,49.51,Month-to-Month,19.9,1
8720-RQSBJ,0,69,0,0,0,1,Offer E,28.67,Two Year,44.0,0
8414-OOEEL,0,48,0,2,0,66,Offer A,12.48,Two Year,79.5,0
4682-BLBUC,0,19,1,0,1,44,None,29.61,One Year,70.95,0
0859-YGKFW,0,56,1,3,1,18,Offer D,28.06,One Year,20.05,0
1555-HAPSU,1,25,1,2,1,71,Offer A,29.41,Two Year,23.9,0
9067-YGSCA,1,35,0,0,0,70,None,31.33,One Year,26.05,0
2758-RNWXS,0,60,0,0,0,35,Offer C,49.61,One Year,89.2,0
3197-ARFOY,1,67,0,0,0,19,None,7.95,One Year,105.0,0
3451-VAWLI,1,62,1,2,5,35,None,15.41,Two Year,19.7,0
9894-QMIMJ,1,55,0,0,0,23,Offer D,9.04,One Year,55.8,0
7717-BICXI,0,37,1,3,4,60,Offer B,15.65,Two Year,20.55,0
6388-TABGU,0,48,0,0,0,62,Offer B,7.96,One Year,56.15,0
9274-UARKJ,1,60,0,0,0,15,None,10.43,Month-to-Month,83.2,0
9611-CTWIH,1,56,0,0,0,3,None,16.15,Month-to-Month,89.45,1
7129-AZJDE,0,59,1,1,1,34,Offer C,3.54,One Year,78.95,0
4795-UXVCJ,0,63,0,0,0,26,Offer C,45.7,One Year,19.8,0
0042-JVWOJ,0,64,0,0,0,26,Offer C,37.7,One Year,19.6,0
2105-PHWON,1,41,1,0,1,33,None,10.34,Month-to-Month,95.0,0
9031-ZVQPT,0,21,1,0,10,72,None,14.19,Two Year,108.2,0
2077-MPJQO,0,80,1,0,2,7,None,21.37,Month-to-Month,-10.0,0
9103-CXVOK,0,31,1,2,8,1,None,30.38,Month-to-Month,19.75,0
3067-SVMTC,1,49,1,0,9,68,None,44.79,One Year,55.9,0
2220-IAHLS,1,49,0,0,0,1,None,2.85,Month-to-Month,19.4,0
5502-RLUYV,1,42,1,0,1,69,None,37.2,Month-to-Month,103.95,1
0508-OOLTO,1,33,1,1,5,2,None,29.03,Month-to-Month,71.65,0
3908-BLSYF,1,40,0,0,0,6,None,25.93,Month-to-Month,83.9,1
6349-JDHQP,1,62,0,0,0,53,None,18.81,Two Year,19.85,0
3523-QRQLL,1,22,1,0,1,22,None,35.04,One Year,69.5,1
7629-WFGLW,1,80,1,0,10,56,Offer B,11.55,One Year,95.65,0
6360-SVNWV,1,72,0,0,0,31,None,47.48,Two Year,73.55,0
9600-UDOPK,0,33,1,0,1,30,Offer C,10.5,Month-to-Month,94.05,1
4821-SJHJV,1,25,1,3,6,32,None,48.49,Month-to-Month,89.6,0
9351-HXDMR,0,37,1,0,6,72,Offer A,46.16,Two Year,110.9,0
8388-DMKAE,1,41,0,0,0,8,Offer E,15.86,Two Year,20.25,0
1450-SKCVI,1,22,0,0,0,56,None,35.59,Month-to-Month,73.85,1
3932-CMDTD,1,29,0,0,0,4,None,43.45,One Year,105.65,1
1894-IGFSG,1,38,0,0,0,22,None,18.01,Month-to-Month,89.25,1
4234-XTNEA,0,25,0,0,0,2,None,37.7,Month-to-Month,79.95,0
7856-GANIL,0,71,1,0,1,45,Offer B,2.38,One Year,98.7,0
4342-HFXWS,1,19,1,1,6,48,Offer B,44.66,One Year,69.7,0
7009-PCARS,0,53,0,2,0,55,Offer B,39.29,One Year,19.1,0
7009-LGECI,1,24,0,0,0,4,None,22.07,Month-to-Month,50.55,0
9692-TUSXH,1,23,0,0,0,18,Offer D,35.7,Month-to-Month,96.05,1
3580-GICBM,1,56,1,1,7,61,None,34.84,Two Year,24.2,0
5567-GZKQY,0,58,0,0,0,58,Offer B,29.25,Two Year,20.3,0
7272-QDCKA,0,31,0,0,0,28,Offer C,12.36,One Year,100.2,0
3785-KTYSH,0,24,0,0,0,53,None,34.16,Two Year,24.6,0
3254-YRILK,0,74,0,0,0,19,Offer D,39.97,Month-to-Month,88.2,1
3030-YDNRM,0,64,0,0,0,8,Offer E,11.58,Month-to-Month,74.85,0
7410-KTVFV,0,53,1,0,1,18,None,19.05,Month-to-Month,49.55,1
0115-TFERT,0,24,1,0,1,21,None,36.26,Month-to-Month,111.2,1
9490-DFPMD,1,79,0,0,0,42,None,9.53,Month-to-Month,84.65,1
0071-NDAFP,0,31,1,3,1,25,None,23.69,Two Year,25.5,0
4670-TABXH,0,53,1,0,6,72,None,22.95,Two Year,109.75,0
8383-SGHJU,1,41,0,0,0,33,None,10.28,One Year,59.4,0
6778-EICRF,0,57,1,1,9,24,None,8.67,One Year,74.8,0
9574-BOSMD,0,50,1,2,10,68,None,19.09,Two Year,25.4,0
6685-XSHHU,0,45,1,2,9,60,None,32.12,Two Year,20.95,0
3378-AJRAO,0,44,1,0,7,44,None,32.22,One Year,24.85,0
7554-AKDQF,1,27,1,0,9,6,Offer E,5.69,Month-to-Month,45.65,0
8561-NMTBD,1,20,1,3,3,67,None,20.41,One Year,112.35,0
3049-SOLAY,1,21,1,0,5,3,None,23.26,Month-to-Month,95.2,1
8062-YBDOE,0,70,0,0,0,1,None,7.23,Month-to-Month,69.65,1
6509-TSGWN,1,42,1,2,1,37,None,31.83,Month-to-Month,26.45,0
3550-SAHFP,1,51,0,0,0,33,None,20.29,Month-to-Month,83.35,1
3966-HRMZA,1,74,0,0,0,3,Offer E,41.44,One Year,75.05,0
1790-NESIO,1,23,0,0,0,13,None,6.56,Two Year,20.4,0
5334-AFQJB,0,66,0,0,0,72,Offer A,2.37,Two Year,25.1,0
8083-YTZES,0,52,0,0,0,4,None,47.82,Month-to-Month,74.35,1
1867-TJHTS,1,47,0,0,0,58,None,22.71,Month-to-Month,79.8,0
6996-KNSML,1,26,0,0,0,1,None,35.25,Month-to-Month,74.9,1
4441-NIHPT,1,73,0,0,0,13,None,40.37,Month-to-Month,74.3,1
3936-QQFLL,0,58,0,0,0,2,None,1.97,Month-to-Month,19.75,0
9500-LTVBP,1,63,0,0,0,35,Offer C,13.14,Month-to-Month,80.05,0
5975-BAICR,0,36,1,2,8,36,None,47.45,One Year,63.7,0
7964-ZRKKG,0,44,1,0,1,67,None,37.6,One Year,88.4,0
7293-LSCDV,1,32,1,3,2,60,None,23.68,Two Year,19.25,0
2167-FQSTQ,1,20,1,0,8,72,None,37.45,Two Year,92.4,0
0887-WBJVH,1,29,1,0,1,53,Offer B,38.35,One Year,93.45,0
9190-MFJLN,0,65,0,0,0,19,Offer D,32.77,Month-to-Month,95.9,1
4955-VCWBI,1,51,1,2,5,43,None,35.2,One Year,20.0,0
5886-VLQVU,0,30,1,0,0,35,None,24.83,Month-to-Month,89.85,0
5514-YQENT,0,29,0,3,0,41,None,30.58,Two Year,111.15,0
6400-BWQKW,1,51,0,0,0,6,None,19.74,Month-to-Month,79.05,1
1323-OOEPC,1,45,1,0,1,53,None,41.74,Month-to-Month,98.4,1
4010-YLMVT,1,25,0,0,0,56,Offer B,24.77,Month-to-Month,106.6,0
6806-YDEUL,1,67,0,0,0,6,Offer E,2.03,Two Year,19.5,0
3446-QDSZF,1,57,0,0,0,4,Offer E,38.96,Month-to-Month,55.5,0
4950-HKQTE,1,47,0,0,0,22,Offer D,5.28,Two Year,26.25,0
1356-MKYSK,0,44,0,0,0,6,Offer E,46.59,Month-to-Month,78.65,0
6172-FECYY,0,55,1,0,1,49,Offer B,39.6,Month-to-Month,84.5,1
6134-KWTBV,0,43,0,0,0,62,None,48.93,Two Year,23.4,0
5016-IBERQ,0,28,1,0,1,23,None,18.05,Month-to-Month,84.25,0
7245-NIIWQ,1,53,0,0,0,3,Offer E,34.76,Month-to-Month,69.85,0
7181-OQCUT,0,60,0,0,0,21,Offer D,15.89,Month-to-Month,103.85,0
1104-TNLZA,0,67,1,0,8,28,Offer C,24.35,Month-to-Month,105.8,0
4119-ZYPZY,0,67,0,0,0,71,None,34.8,Two Year,106.8,0
0495-ZBNGW,0,78,1,0,1,5,None,6.66,Month-to-Month,-1.0,1
4298-OYIFC,0,59,1,0,1,15,None,18.6,Month-to-Month,103.45,0
0619-OLYUR,0,32,1,0,1,72,None,47.83,Two Year,111.9,0
9711-FJTBX,0,60,1,1,4,56,None,11.48,One Year,85.85,0
4817-QRJSX,1,46,0,0,0,10,Offer D,49.5,Month-to-Month,81.0,1
0564-MUUQK,1,28,1,2,5,20,None,38.71,Month-to-Month,95.5,0
3633-CDBUW,0,25,0,1,0,17,None,45.92,One Year,80.85,0
1447-PJGGA,1,39,0,0,0,57,None,17.55,Two Year,95.25,1
5035-PGZXH,1,49,0,0,0,56,None,32.43,One Year,106.8,0
8229-BUJHX,1,60,1,1,8,71,None,11.13,Two Year,20.5,0
6693-DJWTY,1,46,0,3,0,35,None,12.56,One Year,-4.0,0
7094-MSZAO,0,55,1,3,7,10,None,13.83,Month-to-Month,20.05,0
8562-GHPPI,1,50,0,0,0,1,None,11.96,Month-to-Month,19.8,0
4716-MRVEN,1,30,0,0,0,29,Offer C,32.43,One Year,20.0,0
7554-NEWDD,0,44,0,0,0,10,None,32.1,Two Year,25.7,0
3709-OIJEA,0,51,0,0,0,26,None,29.72,One Year,-2.0,0
1568-BEKZM,0,65,1,0,7,70,None,12.07,Two Year,90.05,0
5788-YPOEG,1,41,1,2,9,34,Offer C,9.09,Two Year,84.75,0
3716-LRGXK,0,27,1,0,0,60,None,10.05,Two Year,101.15,0
9668-PUGNU,0,20,1,0,9,71,None,32.18,Two Year,24.5,0
5274-XHAKY,1,19,1,2,10,41,Offer B,1.6,Month-to-Month,94.3,0
0529-ONKER,0,70,0,0,0,15,Offer D,46.38,Month-to-Month,75.65,1
5294-DMSFH,1,32,1,2,1,29,None,33.62,Month-to-Month,87.8,0
7993-PYKOF,0,20,1,0,1,8,None,5.34,Month-to-Month,75.0,1
1452-KIOVK,0,42,0,3,0,22,Offer D,29.54,Month-to-Month,89.1,0
3902-FOIGH,0,66,1,0,1,12,None,48.5,Month-to-Month,101.35,1
4770-UEZOX,0,19,0,0,0,2,Offer E,43.56,Month-to-Month,74.75,0
0621-HJWXJ,1,54,1,0,1,63,Offer B,21.15,Month-to-Month,81.55,0
1170-SASML,1,33,1,0,6,69,Offer A,34.49,Month-to-Month,85.4,0
1699-TLDLZ,1,44,1,2,10,16,Offer D,7.14,Two Year,19.7,0
5271-DBYSJ,0,80,0,0,0,11,Offer D,26.84,Month-to-Month,79.15,0
2985-JUUBZ,0,32,1,3,5,40,Offer B,13.86,Month-to-Month,74.55,0
8212-CRQXP,1,20,1,0,1,22,None,45.1,Month-to-Month,80.0,0
4178-EGMON,0,30,1,0,9,70,None,9.28,Two Year,88.0,0
8879-ZKJOF,1,57,0,0,0,41,None,38.21,One Year,79.85,0
5099-BAILX,0,77,1,0,1,43,Offer B,14.52,Month-to-Month,110.75,1
7852-LECYP,0,79,1,0,8,13,Offer D,48.15,Two Year,93.8,0
9025-ZRPVR,0,59,0,0,0,9,Offer E,49.74,Month-to-Month,18.95,1
0484-JPBRU,0,23,0,0,0,41,None,41.21,Month-to-Month,25.25,0
2348-KCJLT,1,60,1,0,8,44,Offer B,44.87,One Year,61.5,0
1169-SAOCL,0,45,0,0,0,49,None,22.52,One Year,106.65,0
5649-RXQTV,0,34,0,0,0,51,Offer B,42.33,Month-to-Month,99.0,0
6023-YEBUP,0,32,0,0,0,3,Offer E,11.94,Month-to-Month,100.95,1
0661-KBKPA,0,43,1,3,7,53,None,31.86,One Year,78.75,0
0956-ACVZC,1,23,0,0,0,54,None,48.97,One Year,94.1,0
6177-PEVRA,1,58,0,0,0,48,None,13.03,Two Year,55.5,0
7014-ZZXAW,1,30,1,0,1,71,None,8.21,Two Year,24.25,0
3466-WAESX,0,46,0,2,0,16,Offer D,13.99,Month-to-Month,69.1,0
4616-ULAOA,1,33,1,2,1,65,Offer B,45.21,Two Year,110.8,0
3144-AUDBS,1,59,1,0,1,6,Offer E,6.94,Month-to-Month,49.15,1
5090-EMGTC,1,32,1,0,10,59,Offer B,45.75,Two Year,100.05,0
3889-VWBID,0,52,1,1,1,68,None,27.59,Two Year,82.85,0
8580-QVLOC,1,78,1,0,0,72,None,25.77,Two Year,92.45,1
9249-FXSCK,1,20,0,0,0,52,Offer B,33.69,One Year,111.25,1
7572-KPVKK,0,44,0,1,0,62,Offer B,17.67,Two Year,104.05,0
4822-LPTYJ,0,38,1,0,8,72,None,16.5,Two Year,103.75,0
3996-ZNWYK,0,77,1,1,5,71,None,32.12,Two Year,19.8,0
4667-QONEA,1,72,1,0,9,60,Offer B,48.9,One Year,74.85,0
8433-WXGNA,0,55,0,0,0,2,None,42.16,Month-to-Month,75.7,1
7860-KSUGX,0,25,1,0,1,72,Offer A,32.67,Two Year,64.45,0
8017-UVSZU,1,62,1,0,5,40,None,48.29,Month-to-Month,56.6,0
7349-ALMUX,0,35,0,0,0,37,None,38.43,Two Year,65.6,0
3197-NNYNB,0,47,0,0,0,65,Offer B,27.75,Two Year,-3.0,0
0376-OIWME,0,24,1,0,3,36,Offer C,41.33,Month-to-Month,93.6,0
7995-ZHHNZ,0,56,1,0,1,42,Offer B,20.65,One Year,-7.0,0
0696-UKTOX,0,64,0,1,0,23,None,8.4,Month-to-Month,54.15,0
2530-ENDWQ,1,55,1,0,2,71,Offer A,40.52,Two Year,93.7,1
2680-XKKNJ,1,60,0,0,0,8,None,17.52,One Year,58.2,0
9720-JJJOR,0,20,1,0,8,41,None,2.43,One Year,60.3,0
6993-OHLXR,1,26,0,0,0,2,None,30.73,Month-to-Month,68.95,1
0565-IYCGT,0,51,0,0,0,69,Offer A,29.38,One Year,78.6,1
5201-CBWYG,0,60,1,1,1,62,None,16.48,One Year,24.8,0
3761-FLYZI,1,69,1,0,4,65,None,48.53,Two Year,108.8,0
8625-AZYZY,0,51,1,0,2,24,Offer C,3.0,Month-to-Month,104.65,1
5614-DNZCE,1,56,0,0,0,58,None,29.47,Two Year,64.9,0
3230-IUALN,1,41,1,0,10,45,None,26.01,Two Year,81.0,0
6625-IUTTT,0,29,0,0,0,67,Offer A,49.74,Two Year,65.55,0
3842-IYKUE,1,28,0,0,0,35,Offer C,45.14,Month-to-Month,85.3,1
4355-CVPVS,1,49,1,1,4,56,None,12.97,One Year,88.9,0
4510-HIMLV,0,50,0,0,0,1,None,22.86,Month-to-Month,69.8,1
5688-KZTSN,0,59,1,3,1,15,None,31.14,Month-to-Month,20.0,1
1169-WCVAK,0,42,1,0,1,19,Offer D,34.05,Month-to-Month,88.8,0
1796-JANOW,1,33,0,0,0,2,Offer E,34.57,Month-to-Month,19.95,0
2096-XOTMO,1,40,1,3,10,16,None,12.82,Month-to-Month,19.35,0
5376-DEQCP,1,48,0,0,0,1,None,27.12,Month-to-Month,70.6,1
8059-UDZFY,1,73,0,2,0,33,Offer C,12.75,Two Year,105.35,0
9695-IDRZR,1,26,0,3,0,34,None,27.47,Two Year,116.15,0
2725-TTRIQ,1,45,1,3,10,72,Offer A,37.84,Two Year,84.2,0
9318-NKNFC,0,53,0,0,0,1,None,40.49,Month-to-Month,18.85,1
8132-YPVBX,1,28,0,0,0,6,None,40.64,Month-to-Month,85.95,0
5726-CVNYA,1,44,1,0,8,8,Offer E,17.09,Two Year,19.85,0
3733-ZEECP,0,29,1,2,3,22,None,27.91,Month-to-Month,51.1,0
1016-DJTSV,0,66,0,0,0,8,Offer E,41.85,Two Year,69.7,0
7797-EJMDP,1,34,0,0,0,8,Offer E,33.54,Month-to-Month,66.05,0
9962-BFPDU,1,61,1,3,3,1,None,16.02,Month-to-Month,20.05,0
3678-MNGZX,0,45,1,3,1,68,Offer A,35.89,Two Year,19.95,0
8593-WHYHV,0,46,0,0,0,3,Offer E,14.28,Month-to-Month,85.3,1
9866-QEVEE,0,58,0,0,0,19,Offer D,20.41,Month-to-Month,86.0,1
2100-BDNSN,1,39,1,0,1,5,None,14.9,Month-to-Month,67.95,1
2789-HQBOU,0,60,0,0,0,3,Offer E,49.63,Month-to-Month,80.35,0
9386-LDCZR,0,19,0,0,0,43,Offer B,36.78,One Year,90.65,0
7571-YXDAD,1,37,0,0,0,2,None,38.28,Month-to-Month,74.9,1
8043-PNYSD,0,48,1,2,4,63,Offer B,10.67,Two Year,19.55,0
4567-AKPIA,1,28,1,2,3,41,None,20.41,One Year,109.1,0
2057-ZBLPD,1,50,1,0,3,21,Offer D,42.22,Month-to-Month,86.5,1
9975-SKRNR,0,24,0,0,0,1,Offer E,49.51,Month-to-Month,18.9,0
9378-FXTIZ,1,50,1,0,1,54,None,42.1,One Year,70.15,1
6131-JLWZM,1,27,0,0,0,13,Offer D,22.01,Month-to-Month,20.3,0
4578-PHJYZ,0,45,1,2,9,52,None,5.51,One Year,68.75,0
3795-GWTRD,1,58,1,0,7,63,None,6.33,Two Year,75.55,0
4854-CIDCF,1,74,0,0,0,3,None,46.65,Two Year,73.85,0
0524-IAVZO,1,25,1,0,1,30,Offer C,4.82,Month-to-Month,85.0,1
0813-TAXXS,0,48,0,0,0,55,None,26.3,Two Year,77.8,0
1156-ZFYDO,1,57,0,0,0,1,None,37.62,Month-to-Month,19.75,0
1174-FGIFN,1,44,1,1,7,28,Offer C,26.28,One Year,90.45,0
4140-WJAWW,1,57,0,0,0,5,None,6.17,Month-to-Month,19.85,1
0193-ESZXP,1,73,1,0,1,58,None,16.94,One Year,105.5,1
1038-RQOST,0,43,1,2,6,19,Offer D,4.7,Month-to-Month,20.6,0
5480-XTFFL,1,60,1,3,3,31,Offer C,9.8,Two Year,21.0,0
1237-WIYYZ,1,49,0,0,0,18,Offer D,10.67,Month-to-Month,19.55,0
1866-NXPSP,1,48,0,0,0,36,None,32.0,One Year,75.55,0
0487-CRLZF,1,58,0,0,0,49,Offer B,7.51,Two Year,74.45,0
6374-AFWOX,0,23,1,0,3,46,None,46.71,Two Year,65.65,0
1241-EZFMJ,0,48,1,0,2,61,Offer B,11.53,Two Year,25.45,0
2924-KHUVI,0,28,1,0,7,56,None,46.9,One Year,100.55,0
5295-PCJOO,0,44,0,2,0,4,None,9.77,Month-to-Month,49.4,1
6859-RKMZJ,0,38,1,0,6,11,None,44.2,Month-to-Month,-10.0,0
2202-CUYXZ,0,25,0,0,0,1,None,36.07,Month-to-Month,84.85,1
2003-CKLOR,0,62,0,0,0,66,Offer A,25.82,Month-to-Month,99.5,1
1328-EUZHC,1,59,1,0,4,18,None,25.54,Two Year,20.1,0
9081-WWXKP,1,64,1,1,8,47,None,37.35,Two Year,20.25,0
7952-OBOYL,0,24,0,0,0,3,None,25.1,Month-to-Month,89.85,0
9339-FIIJL,0,57,1,0,2,72,Offer A,10.97,Two Year,85.95,0
6917-FIJHC,1,60,1,0,8,72,Offer A,26.98,Two Year,26.0,0
5329-KRDTM,0,73,1,0,4,72,Offer A,33.68,Two Year,77.35,0
4813-HQMGZ,1,54,1,0,4,8,Offer E,9.88,Month-to-Month,90.25,0
6435-VWCCY,0,71,1,0,3,65,Offer B,27.14,Two Year,92.7,0
7716-YTYHG,1,41,1,0,1,48,Offer B,23.95,One Year,82.05,1
3606-TWKGI,0,68,0,0,0,13,Offer D,32.68,Month-to-Month,106.9,1
8943-URTMR,1,56,0,0,0,2,Offer E,29.04,Month-to-Month,79.65,1
1080-BWSYE,0,76,1,0,0,64,None,29.43,Two Year,25.65,0
8670-ERCJH,0,33,0,0,0,72,Offer A,2.56,Two Year,113.4,0
0687-ZVTHB,0,24,1,0,1,65,Offer B,26.75,One Year,72.45,1
0365-TRTPY,1,52,0,0,0,37,None,11.73,Month-to-Month,91.2,0
6124-ACRHJ,1,59,0,0,0,1,None,41.28,Month-to-Month,19.75,0
6584-VQMYT,0,19,0,2,0,27,Offer C,2.63,One Year,56.2,0
8060-HIWJJ,0,35,0,0,0,64,Offer B,14.39,Two Year,86.55,0
0238-WHBIQ,0,25,1,1,10,72,Offer A,33.75,Two Year,89.7,0
4981-FLTMF,1,35,1,1,3,57,None,1.54,Month-to-Month,65.2,0
4947-DSMXK,0,28,1,2,9,34,None,42.74,Month-to-Month,97.7,0
5644-PDMZC,1,69,0,0,0,2,None,47.47,Month-to-Month,89.5,1
7055-VKGDA,0,31,0,0,0,54,Offer B,49.98,One Year,105.4,1
5906-DVAPM,1,27,1,2,7,55,None,33.5,One Year,75.0,0
0872-NXJYS,1,40,0,0,0,9,None,45.41,Month-to-Month,79.55,1
1345-GKDZZ,0,20,0,1,0,6,None,17.53,Month-to-Month,19.55,0
0231-LXVAP,0,23,0,0,0,1,None,44.56,Month-to-Month,75.9,1
3873-WOSBC,0,58,1,0,1,67,Offer A,11.74,Two Year,25.6,0
8262-COGGB,0,53,0,0,0,1,None,11.61,Month-to-Month,20.45,0
0679-IDSTG,1,73,1,0,1,1,None,37.3,Month-to-Month,69.25,1
3351-NGXYI,1,70,0,0,0,16,Offer D,9.72,One Year,54.1,0
9777-WJJPR,0,46,1,0,9,31,None,29.77,Month-to-Month,88.65,0
8963-JLGJT,0,20,0,1,0,3,Offer E,33.28,Month-to-Month,55.9,0
5327-XOKKY,0,79,1,0,7,72,Offer A,11.26,Two Year,73.45,0
2429-AYKKO,0,52,0,0,0,72,Offer A,3.43,Two Year,19.85,0
0691-NIKRI,1,41,0,0,0,40,Offer B,16.73,One Year,105.95,0
7159-NOKYQ,0,42,1,0,5,67,Offer A,17.4,Two Year,93.15,0
4116-IQRFR,0,55,1,2,1,4,Offer E,16.68,One Year,24.1,0
6924-TDGMT,0,34,1,0,6,11,None,26.11,One Year,20.55,0
0130-SXOUN,0,55,0,0,0,66,Offer A,48.78,Month-to-Month,89.4,0
6848-HJTXY,1,41,1,0,8,64,Offer B,19.98,Two Year,19.45,0
5919-VCZYM,0,19,0,0,0,2,None,40.28,Month-to-Month,20.05,0
1548-FEHVL,0,40,1,0,6,61,None,27.66,Month-to-Month,106.2,0
6050-FFXES,1,51,1,0,3,69,None,14.69,Two Year,105.35,0
1394-SUIUH,1,70,1,0,4,44,None,44.44,Two Year,85.15,0
5172-RKOCB,0,28,1,0,0,72,None,21.26,Two Year,108.95,0
7471-WNSUF,0,23,1,0,1,60,Offer B,16.42,One Year,24.15,0
3280-NMUVX,0,53,1,0,7,34,None,26.03,One Year,19.6,0
2265-CYWIV,1,68,1,0,1,4,None,18.91,Month-to-Month,99.6,1
8775-CEBBJ,1,40,0,0,0,9,None,41.92,Month-to-Month,44.2,1
3389-YGYAI,1,79,0,0,0,8,None,45.16,Month-to-Month,105.5,1
8048-DSDFQ,0,63,0,0,0,1,None,13.08,Month-to-Month,20.2,0
2988-GBIVW,1,68,1,0,10,70,None,38.5,Two Year,90.85,0
0142-GVYSN,0,57,0,0,0,26,Offer C,13.34,Month-to-Month,20.3,0
0506-LVNGN,1,78,0,0,0,5,None,42.33,Month-to-Month,75.55,1
6786-OBWQR,1,20,1,2,8,5,None,47.91,Month-to-Month,80.85,0
1200-TUZHR,1,70,0,0,0,8,Offer E,44.63,Two Year,85.2,0
7064-FRRSW,0,71,0,0,0,48,None,5.87,One Year,99.0,0
3720-DBRWL,0,20,1,0,5,51,Offer B,6.89,Two Year,83.85,0
7776-QGYJC,1,64,1,5,7,39,Offer C,40.68,Month-to-Month,81.5,0
3746-EUBYR,0,63,1,0,1,1,Offer E,44.73,Month-to-Month,74.6,1
3374-LXDEV,1,42,0,0,0,13,Offer D,8.59,Month-to-Month,89.4,1
1657-DYMBM,0,35,1,0,8,53,Offer B,34.46,Two Year,19.9,0
7838-LAZFO,0,38,1,0,6,45,Offer B,9.91,One Year,78.8,0
1304-NECVQ,1,69,0,0,0,2,Offer E,43.96,Month-to-Month,78.55,1
8974-OVACP,1,40,0,0,0,1,None,27.59,Month-to-Month,20.15,0
2632-TACXW,1,49,1,0,4,62,None,8.91,Two Year,23.65,0
5148-HKFIR,1,49,0,0,0,20,None,15.87,Two Year,19.7,0
6728-CZFEI,1,28,0,0,0,15,None,6.56,One Year,56.15,0
0880-FVFWF,0,32,0,0,0,56,Offer B,37.15,Month-to-Month,86.4,0
0330-IVZHA,1,55,1,0,1,5,Offer E,17.08,Month-to-Month,69.95,1
6161-ERDGD,0,57,1,3,0,71,Offer A,23.41,One Year,85.45,0
2754-XBHTB,1,40,0,0,0,9,None,22.88,Month-to-Month,77.65,1
0486-HECZI,0,37,1,1,0,55,None,49.06,Month-to-Month,96.75,1
1400-WIVLL,0,31,1,0,2,57,None,16.78,Two Year,107.95,0
7055-JCGNI,1,60,0,0,0,70,Offer A,44.57,Two Year,111.95,0
4163-KIUHY,0,21,0,0,0,35,None,39.84,Month-to-Month,25.6,0
5117-ZSMHQ,1,22,1,1,9,71,Offer A,37.57,Two Year,89.9,0
3413-CSSTH,0,40,0,0,0,41,None,6.6,Month-to-Month,55.7,0
3404-JNXAX,1,40,1,2,9,51,Offer B,29.56,Month-to-Month,80.75,0
9540-JYROE,0,30,0,0,0,8,None,13.04,Month-to-Month,70.1,1
6689-KXGBO,1,36,0,0,0,1,None,30.96,Month-to-Month,50.55,1
9681-OXGVC,1,54,0,0,0,5,None,28.2,Month-to-Month,100.5,1
8984-EYLLL,0,29,1,0,5,64,None,40.18,Two Year,105.25,0
9576-ANLXO,1,30,0,0,0,3,None,26.26,Month-to-Month,69.55,1
0064-SUDOG,1,48,1,3,3,12,None,19.28,Two Year,20.3,0
7255-SSFBC,0,42,1,3,2,72,Offer A,11.66,Two Year,112.25,0
8182-BJDSI,1,56,0,0,0,28,Offer C,30.28,Month-to-Month,89.95,1
2458-EOMRE,1,19,0,0,0,11,Offer D,40.96,Month-to-Month,64.05,0
4884-TVUQF,1,80,0,0,0,57,Offer B,36.89,Two Year,101.3,0
0334-GDDSO,0,77,0,0,0,3,Offer E,9.22,Month-to-Month,81.35,1
